bad_IM-rytov0.00-AS0%distance 0.0, use 35.76713585853577 time.
bad_IM-rytov0.30-AS19%distance 1174.8778819816814, use 48.52673578262329 time.
bad_IM-rytov0.04-AS7%distance 1226.3426647205142, use 57.87525129318237 time.
bad_IM-rytov0.08-AS11%distance 1608.1001277194034, use 51.58122253417969 time.
bad_IM-rytov0.01-AS4%distance 1678.5419370041159, use 129.3052041530609 time.
bad_IM-rytov0.15-AS19%distance 2108.697752402268, use 161.91026306152344 time.
bad_IM-rytov0.02-AS7%distance 2201.067924105739, use 136.44629383087158 time.
bad_IM-rytov0.30-AS31%distance 2765.1301895563756, use 119.72286033630371 time.
bad_IM-rytov0.04-AS11%distance 2886.254969103735, use 146.9977457523346 time.
bad_IM-rytov0.60-AS51%distance 3625.9084340018076, use 147.43682765960693 time.
bad_IM-rytov0.08-AS19%distance 3784.7390602725786, use 148.13274121284485 time.
bad_IM-rytov0.01-AS7%distance 3950.527161697717, use 147.13070440292358 time.
bad_IM-rytov0.15-AS31%distance 4962.91904481363, use 150.9423406124115 time.
bad_IM-rytov0.02-AS11%distance 5180.316575492265, use 148.07262063026428 time.
bad_IM-rytov0.30-AS51%distance 6507.863568168939, use 420.57586193084717 time.
bad_IM-rytov0.04-AS19%distance 6792.936416816705, use 414.80908465385437 time.
bad_IM-rytov0.60-AS84%distance 8533.74553150522, use 422.35054326057434 time.
bad_IM-rytov0.08-AS31%distance 8907.560858581308, use 4158.631804466248 time.
bad_IM-rytov0.01-AS11%distance 9297.750929694597, use 2202.9546678066254 time.
bad_IM-rytov0.15-AS51%distance 11680.462701358803, use 2256.9039146900177 time.
bad_IM-rytov0.02-AS19%distance 12192.11798437474, use 2300.5940725803375 time.
bad_IM-rytov0.30-AS84%distance 15316.56208516368, use 9047.232304573059 time.
bad_IM-rytov0.04-AS31%distance 15987.494402562643, use 8867.883022546768 time.
